产品代码,产品名称,产品英文名称,产品单重,产品尺寸,规格,计划库存,采购在途,退件在途,待上架,可用库存,可售库存,可售库存减去缺货占用库存,待出库,"不良品 ",不良品待出库,预警库存,缺货,缺货天数,缺货订单所占可售库存,默认采购员,销售负责人,开发负责人,pi_id,可售天数,币种(供应商结算),采购计划,仓库,仓库代码,一级品类,二级品类,三级品类,销售状态,仓库产品代码,推荐库位,单价(默认采购价),款式,可售总库存,库龄
D112-FS-14,Shisha-黑加仑冰,"Shisha-blackcurrant ice",0.923,17.50*8.70*13.50,,0,1,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,275,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-15,Shisha-草莓奇异果,"Shisha-strawberry kiwi",0.923,17.50*8.70*13.50,,0,1,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,276,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-TP2-01,"2% Tornado Pro-桃子芒果菠萝","2% Tornado Pro-Peach Mango Pineapple",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,277,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-02,"2% Tornado Pro-葡萄冰","2% Tornado Pro-Grape Ice",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,278,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-03,"2% Tornado Pro-草莓树莓樱桃冰","2% Tornado Pro- Strawberry Raspberry Cherry ice",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,279,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-04,"2% Tornado Pro-西瓜冰","2% Tornado Pro- Watermelon Ice",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,280,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-05,"2% Tornado Pro-草莓奇异果","2% Tornado Pro- Strawberry Kiwi",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,281,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-06,"2% Tornado Pro-蓝莓拉兹","2% Tornado Pro- Blue Razz",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,282,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-07,"2% Tornado Pro-草莓香蕉","2% Tornado Pro- Strawberry Banana",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,283,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-08,"2% Tornado Pro-功能饮料","2% Tornado Pro- Energy Drink",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,284,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-09,"2% Tornado Pro-气泡樱桃","2% Tornado Pro- Fizzy Cherry",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,285,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP2-10,"2% Tornado Pro-树莓西瓜","2% Tornado Pro- Raspberry Watermelon",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,286,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-02",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-01,"5% Tornado Pro-桃子芒果菠萝","5% Tornado Pro-Peach Mango Pineapple",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,287,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-02,"5% Tornado Pro-葡萄冰","5% Tornado Pro-Grape Ice",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,288,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-03,"5% Tornado Pro-草莓树莓樱桃冰","5% Tornado Pro- Strawberry Raspberry Cherry ice",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,289,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-04,"5% Tornado Pro-西瓜冰","5% Tornado Pro- Watermelon Ice",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,290,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-05,"5% Tornado Pro-草莓奇异果","5% Tornado Pro- Strawberry Kiwi",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,291,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-06,"5% Tornado Pro-蓝莓拉兹","5% Tornado Pro- Blue Razz",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,292,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-07,"5% Tornado Pro-草莓香蕉","5% Tornado Pro- Strawberry Banana",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,293,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-08,"5% Tornado Pro-功能饮料","5% Tornado Pro- Energy Drink",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,294,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-09,"5% Tornado Pro-气泡樱桃","5% Tornado Pro- Fizzy Cherry",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,295,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
D112-TP5-10,"5% Tornado Pro-树莓西瓜","5% Tornado Pro- Raspberry Watermelon",0.864,14.60*9.20*12.80,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,296,0,RMB,0,德三仓-杜塞,DS-DE,"Tornado Pro-05",,,在线产品,,DS-DE,220.0000,,0,0
FS-YP01,Shisha-样品,Shisha-YP,0.086,13.20*4.20*3.40,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,357,0,USD,0,德三仓-杜塞,DS-DE,YP-02,,,平台下架,,DS-DE,2.8900,,0,0
AK-TW02-11,"2% Twins-金桔柠檬-西瓜冰","2% Twins-lemon lime-&watermelon ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,389,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-11,OPJ-DE,24.7000,,0,0
AK-TW02-12,"2% Twins-葡萄冰-草莓奇异果","2% Twins-grape ice-strawberry kiwi",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,390,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-12,OPJ-DE,24.7000,,0,0
AK-TW02-13,"2% Twins-菠萝椰子-草莓香蕉","2% Twins-Pineapple coconut-strawberry banana",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,391,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-13,OPJ-DE,24.7000,,0,0
AK-TW02-14,"2% Twins-橙子芒果西瓜-红牛","2% Twins-orange mango watermelon-red bull",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,392,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-14,OPJ-DE,24.7000,,0,0
AK-TW02-15,"2% Twins-蓝莓冰-气泡殷桃","2% Twins-blueberry ice-fizzy cherry",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,393,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-15,OPJ-DE,24.7000,,0,0
AK-TW02-16,"2% Twins-西瓜冰-混合莓果","2% Twins-watermelon ice-mixed berry",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,394,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-16,OPJ-DE,24.7000,,0,0
AK-TW02-17,"2% Twins-草莓香蕉-气泡殷桃","2% Twins-stawberry banana-fizzy cherry",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,395,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-17,OPJ-DE,24.7000,,0,0
AK-TW02-18,"2% Twins-草莓树莓樱桃冰-葡萄冰","2% Twins-strawberry raspberry cherry ice-grape ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,396,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-18,OPJ-DE,24.7000,,0,0
AK-TW02-19,"2% Twins-蓝莓拉兹柠檬-金桔柠檬","2% Twins-blue razz lemonade-lemon lime",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,397,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-19,OPJ-DE,24.7000,,0,0
AK-TW02-20,"2% Twins-西瓜冰-草莓芒果","2% Twins-watermelon ice-strawberry mango",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,398,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW02-20,OPJ-DE,24.7000,,0,0
AK-TW2-21-TM-RW,"2% Twins-三重蜜瓜-树莓西瓜","2% Twins-triple melon-raspberry watermelon",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,399,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW2-21-TM-RW,OPJ-DE,24.7000,,0,0
AK-TW2-22-BIDFS-RW,"2% Twins-黑冰火龙果草莓-树莓西瓜","2% Twins-Black ice dragon fruit strawberry-Raspberry watermelon",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,400,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW2-22-BIDFS-RW,OPJ-DE,24.7000,,0,0
AK-TW2-23-PC-WI,"2% Twins-菠萝椰子-西瓜冰","2% Twins-Pineapple coconut-watermelon ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,401,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW2-23-PC-WI,OPJ-DE,24.7000,,0,0
AK-TW2-24-SI-MPW,"2% Twins-草莓冰-芒果桃子西瓜","2% Twins-Strawberry ice-mango peach watermelon",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,402,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW2-24-SI-MPW,OPJ-DE,24.7000,,0,0
AK-TW2-25-SK-SRCI,"2% Twins-草莓奇异果-草莓树莓殷桃冰","2% Twins-Strawberry kiwi-Strawberry raspberry chery ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,403,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW2-25-SK-SRCI,OPJ-DE,24.7000,,0,0
AK-TW2-26-TM-PC,"2% Twins-三重蜜瓜-菠萝椰子","2% Twins-triple melon-Pineapple coconut",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,404,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-02,,,在线产品,AK-TW2-26-TM-PC,OPJ-DE,24.7000,,0,0
AK-TW05-11,"5% Twins-金桔柠檬-西瓜冰","5% Twins-lemon lime-&watermelon ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,405,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-11,OPJ-DE,25.2000,,0,0
AK-TW05-12,"5% Twins-葡萄冰-草莓奇异果","5% Twins-grape ice-strawberry kiwi",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,406,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-12,OPJ-DE,25.2000,,0,0
AK-TW05-13,"5% Twins-菠萝椰子-草莓香蕉","5% Twins-Pineapple coconut-strawberry banana",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,407,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-13,OPJ-DE,25.2000,,0,0
AK-TW05-14,"5% Twins-橙子芒果西瓜-红牛","5% Twins-orange mango watermelon-red bull",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,408,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-14,OPJ-DE,25.2000,,0,0
AK-TW05-15,"5% Twins-蓝莓冰-气泡殷桃","5% Twins-blueberry ice-fizzy cherry",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,409,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-15,OPJ-DE,25.2000,,0,0
AK-TW05-16,"5% Twins-西瓜冰-混合莓果","5% Twins-watermelon ice-mixed berry",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,410,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-16,OPJ-DE,25.2000,,0,0
AK-TW05-17,"5% Twins-草莓香蕉-气泡殷桃","5% Twins-stawberry banana-fizzy cherry",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,411,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-17,OPJ-DE,25.2000,,0,0
AK-TW05-18,"5% Twins-草莓树莓樱桃冰-葡萄冰","5% Twins-strawberry raspberry cherry ice-grape ice",0.104,10.80*3.40*5.70,,0,0,0,0,1,1,1,0,0,0,0,,0,,Sunny,,,412,999,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-18,OPJ-DE,25.2000,,1,4
AK-TW05-19,"5% Twins-蓝莓拉兹柠檬-金桔柠檬","5% Twins-blue razz lemonade-lemon lime",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,413,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-19,OPJ-DE,25.2000,,0,0
AK-TW05-20,"5% Twins-西瓜冰-草莓芒果","5% Twins-watermelon ice-strawberry mango",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,414,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW05-20,OPJ-DE,25.2000,,0,0
AK-TW5-21-TM-RW,"5% Twins-三重蜜瓜-树莓西瓜","5% Twins-triple melon-raspberry watermelon",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,415,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW5-21-TM-RW,OPJ-DE,25.2000,,0,0
AK-TW5-22-BIDFS-RW,"5% Twins-黑冰火龙果草莓-树莓西瓜","5% Twins-Black ice dragon fruit strawberry-Raspberry watermelon",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,416,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW5-22-BIDFS-RW,OPJ-DE,25.2000,,0,0
AK-TW5-23-PC-WI,"5% Twins-菠萝椰子-西瓜冰","5% Twins-Pineapple coconut-watermelon ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,417,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW5-23-PC-WI,OPJ-DE,25.2000,,0,0
AK-TW5-24-SI-MPW,"5% Twins-草莓冰-芒果桃子西瓜","5% Twins-Strawberry ice-mango peach watermelon",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,418,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW5-24-SI-MPW,OPJ-DE,25.2000,,0,0
AK-TW5-25-SK-SRCI,"5% Twins-草莓奇异果-草莓树莓殷桃冰","5% Twins-Strawberry kiwi-Strawberry raspberry chery ice",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,419,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW5-25-SK-SRCI,OPJ-DE,25.2000,,0,0
AK-TW5-26-TM-PC,"5% Twins-三重蜜瓜-菠萝椰子","5% Twins-triple melon-Pineapple coconut",0.104,10.80*3.40*5.70,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,420,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Twins-05,,,在线产品,AK-TW5-26-TM-PC,OPJ-DE,25.2000,,0,0
AK-VS2-1104,"2% Super-西瓜冰","2% Super-watermelon ice",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,423,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1104,OPJ-DE,20.5000,,0,0
FS-YP01,Shisha-样品,Shisha-YP,0.086,13.20*4.20*3.40,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,509,0,USD,0,德五仓-欧品居,OPJ-DE,YP-02,,,平台下架,,OPJ-DE,2.8900,,0,0
D112-FS-11,Shisha-样品,Shisha-YP,0.086,13.20*4.20*3.40,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,704,0,RMB,0,德三仓-杜塞,DS-DE,,,,平台下架,,DS-DE,19.5000,,0,0
AK-VS2-1101,"2% Super-蓝莓拉兹","2% Super-BLUE RAZZ",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,782,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1101,OPJ-DE,20.5000,,0,0
AK-VS2-1103,"2% Super-双苹果","2% Super-DOUBLE APPLE",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,783,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1103,OPJ-DE,20.5000,,0,0
AK-VS2-1105,"2% Super-草莓奇异果","2% Super-strawberry kiwi",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,784,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1105,OPJ-DE,20.5000,,0,0
AK-VS2-1106,"2% Super-混合莓果","2% Super-MIXED BERRY",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,785,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1106,OPJ-DE,20.5000,,0,0
AK-VS2-1107,"2% Super-红牛","2% Super-RED BULL",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,786,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1107,OPJ-DE,20.5000,,0,0
AK-VS2-1108,"2% Super-蓝莓殷桃蔓越莓","2% Super-BLUEBERRY CHERRY CRANBERRY",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,787,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1108,OPJ-DE,20.5000,,0,0
AK-VS2-1109,"2% Super-柠檬青柠","2% Super-lemon lime",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,788,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1109,OPJ-DE,20.5000,,0,0
AK-VS2-1110,"2% Super-彩虹糖","2% Super-SKITTLES",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,789,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1110,OPJ-DE,20.5000,,0,0
AK-VS2-1111,"2% Super-夏日的梦","2% Super-Summer dream",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,790,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1111,OPJ-DE,20.5000,,0,0
AK-VS2-1112,"2% Super-草莓香蕉","2% Super-Strawberry banana",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,791,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1112,OPJ-DE,20.5000,,0,0
AK-VS2-1113,"2% Super-树莓西瓜","2% Super-Raspberry Watermelon",0.098,10.50*4.20*4.20,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,792,0,RMB,0,德五仓-欧品居,OPJ-DE,AK-Super-02,,,在线产品,AK-VS2-1113,OPJ-DE,20.5000,,0,0
